FULL NAME,BORN,AGE,DIED,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,SUPER RUGBY TEAM,NICKNAME,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK CAPTAINCY,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER
John Hore,"Friday, 9 August 1907 in Dunedin, New Zealand","Saturday, 7 July 1979 in Dunedin","1.77m, 82kg",Hooker and Prop,King Edward Technical College,Southern,Otago,"Wednesday, 13 June 1928v Orange Free State at Kroonstadaged 20 years, 309 days","Saturday, 5 July 1930v British & Irish Lions at Christchurchaged 22 years, 330 days","Saturday, 4 January 1936v England at Londonaged 28 years, 148 days",10 10,35 (1 as a substitute) 35,45 (1 as a substitute) 45,Jersey Number 1 : 5 Jersey Number 2 : 3 Jersey Number 3 : 2,"9pts (3t, 0c, 0p, 0dg, 0m)","24pts (8t, 0c, 0p, 0dg, 0m)","33pts (11t, 0c, 0p, 0dg, 0m)",343,,,,
FULL NAME,BORN,DIED,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCES,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,
Ronald Hugh Horsley,"Monday, 4 July 1932 in Wellington, New Zealand","Thursday, 20 December 2007 in Rotorua","1.94m, 101kg",Lock,Rongotai College,Wellington,"Wellington, Manawatu","Saturday, 14 May 1960v Queensland at Sydneyaged 27 years, 315 days","Saturday, 23 July 1960v South Africa at Cape Townaged 28 years, 19 days","Saturday, 27 August 1960v South Africa at Port Elizabethaged 28 years, 54 days",3 3,28 28,31 31,Jersey Number 4 : 3,0pts,"3pts (1t, 0c, 0p, 0dg, 0m)","3pts (1t, 0c, 0p, 0dg, 0m)",610,,,,
FULL NAME,BORN,DIED,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,
John Hotop,"Saturday, 7 December 1929 in Alexandra, New Zealand","Sunday, 30 August 2015 in Hamilton","1.70m, 75kg",First five-eighth,Waitaki Boys' High,Lincoln University (College),Canterbury,"Saturday, 6 September 1952v Australia at Christchurchaged 22 years, 274 days","Saturday, 6 September 1952v Australia at Christchurchaged 22 years, 274 days","Saturday, 17 September 1955v Australia at Aucklandaged 25 years, 284 days",3 3,0 0,3 3,Jersey Number 10 : 3,"6pts (1t, 0c, 0p, 1dg, 0m)",0pts,"6pts (1t, 0c, 0p, 1dg, 0m)",540,,,,
FULL NAME,BORN,AGE,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,
Shane Paul Howarth,"Monday, 8 July 1968 in Auckland, New Zealand",50,"1.72m, 82kg",Fullback,St Peter's College (Auckland),Auckland Marist,Auckland,"Tuesday, 26 October 1993v Midlands at Leicesteraged 25 years, 110 days","Saturday, 9 July 1994v South Africa at Dunedinaged 26 years, 1 days","Wednesday, 17 August 1994v Australia at Sydneyaged 26 years, 40 days",4 4,6 6,10 10,Jersey Number 15 : 4,"54pts (1t, 2c, 15p, 0dg, 0m)","81pts (3t, 15c, 12p, 0dg, 0m)","135pts (4t, 17c, 27p, 0dg, 0m)",939,,,,
FULL NAME,BORN,DIED,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,,,,
James Howden,"Saturday, 25 August 1900 in Glasgow, Scotland","Sunday, 12 March 1978 in Waimate",78kg,Hooker,Unknown,Star,Southland,"Wednesday, 12 September 1928v West Coast-Buller at Greymouthaged 28 years, 18 days",0 0,1 1,1 1,,0pts,0pts,358,,,,,,,
FULL NAME,BORN,AGE,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,
Douglas Charles Howlett,"Thursday, 21 September 1978 in Auckland, New Zealand",40,"1.85m, 93kg",Wing,Auckland Grammar,Auckland Marist,Auckland,"Friday, 16 June 2000v Tonga at Albanyaged 21 years, 269 days","Friday, 16 June 2000v Tonga at Albanyaged 21 years, 269 days","Saturday, 29 September 2007v Romania at Toulouseaged 29 years, 8 days",62 (7 as a substitute) 62,1 1,63 (7 as a substitute) 63,Jersey Number 14 : 53 Jersey Number 15 : 2 Jersey Number 21 : 2 Jersey Number 22 : 5,"245pts (49t, 0c, 0p, 0dg, 0m)",0pts,"245pts (49t, 0c, 0p, 0dg, 0m)",992,,,,
FULL NAME,BORN,DIED,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,
Arthur Maitland Hughes,"Saturday, 11 October 1924 in Auckland, New Zealand","Monday, 20 June 2005 in North Shore","1.78m, 87kg",Hooker,Nelson College,Grammar,Auckland,"Wednesday, 2 July 1947v Auckland at Aucklandaged 22 years, 264 days","Saturday, 3 September 1949v Australia at Wellingtonaged 24 years, 327 days","Saturday, 29 July 1950v British & Irish Lions at Aucklandaged 25 years, 291 days",6 6,1 1,7 7,Jersey Number 2 : 6,0pts,0pts,0pts,484,,,,
FULL NAME,BORN,DIED,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,,,,,
Daniel John Hughes,"Sunday, 19 September 1869 in Patea, New Zealand","Sunday, 11 February 1951 in Hawera",Hooker,Manaia School,Waimate,Taranaki,"Saturday, 15 September 1894v N.S.W. at Christchurchaged 24 years, 361 days",0 0,1 1,1 1,,0pts,0pts,51,,,,,,,,
FULL NAME,BORN,DIED,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCES,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,
Edward Hughes,"Tuesday, 26 April 1881 in Invercargill, New Zealand","Tuesday, 1 May 1928 in New South Wales","1.70m, 76kg",Hooker,Unknown,Britannia,"Southland, Wellington","Saturday, 6 July 1907v Wellington Province at Wellingtonaged 26 years, 71 days","Saturday, 20 July 1907v Australia at Sydneyaged 26 years, 85 days","Saturday, 27 August 1921v South Africa at Aucklandaged 40 years, 123 days",6 6,3 3,9 9,Jersey Number 1 : 6,"3pts (1t, 0c, 0p, 0dg, 0m)",0pts,"3pts (1t, 0c, 0p, 0dg, 0m)",144,,,,
FULL NAME,BORN,AGE,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,,,,
Laurence Clifford Hullena,"Tuesday, 24 August 1965 in Masterton, New Zealand",53,"1.82m, 105kg",Prop,Wairarapa College,Petone,Wellington,"Wednesday, 17 October 1990v Provence/Cote D'Azur Invitation XV at Toulonaged 25 years, 54 days",0 0,9 (1 as a substitute) 9,9 (1 as a substitute) 9,,0pts,0pts,907,,,,,,,
FULL NAME,BORN,DIED,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,,,,,
George William Humphreys,"Tuesday, 15 March 1870 in Wolverhampton, England","Thursday, 11 May 1933 in Rotorua",Loose Forward,Unknown,Christchurch,Canterbury,"Saturday, 15 September 1894v N.S.W. at Christchurchaged 24 years, 184 days",0 0,1 1,1 1,,"3pts (1t, 0c, 0p, 0dg, 0m)","3pts (1t, 0c, 0p, 0dg, 0m)",52,,,,,,,,
FULL NAME,BORN,DIED,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,NICKNAME,ALL BLACK DEBUT,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,,,
Arthur Larwill Humphries,"Sunday, 15 February 1874 in New Plymouth, New Zealand","Monday, 13 April 1953 in Wanganui",59.4kg,Halfback,Central School,Star,Taranaki,Skinny,"Saturday, 3 July 1897v N.S.W. at Sydneyaged 23 years, 138 days",0 0,15 (1 as a substitute) 15,15 (1 as a substitute) 15,,"45pts (3t, 17c, 1p, 0dg, 0m)","45pts (3t, 17c, 1p, 0dg, 0m)",73,,,,,,
FULL NAME,BORN,AGE,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,SUPER RUGBY TEAM,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,
Dillon Hunt,"Thursday, 23 February 1995 in Takapuna, New Zealand",23,"1.89m, 102kg",Flanker,Westlake Boys' High,Otago University,Otago,Highlanders,"Tuesday, 14 November 2017v France XV at Lyonaged 22 years, 264 days","Saturday, 3 November 2018v Japan at Tokyoaged 23 years, 253 days","Saturday, 3 November 2018v Japan at Tokyoaged 23 years, 253 days",1 (1 as a substitute) 1,1 (1 as a substitute) 1,2 (2 as a substitute) 2,Jersey Number 19 : 1,0pts,0pts,0pts,1170,,,
FULL NAME,BORN,AGE,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,
Bruce Anthony Hunter,"Saturday, 16 September 1950 in Oamaru, New Zealand",68,"1.75m, 70kg",Wing three-quarter,Waitaki Boys' High,Dunedin Pirates,Otago,"Sunday, 14 June 1970v Western Australia at Perthaged 19 years, 271 days","Saturday, 26 June 1971v British & Irish Lions at Dunedinaged 20 years, 283 days","Saturday, 31 July 1971v British & Irish Lions at Wellingtonaged 20 years, 318 days",3 3,7 7,10 10,Jersey Number 14 : 3,0pts,"24pts (8t, 0c, 0p, 0dg, 0m)","24pts (8t, 0c, 0p, 0dg, 0m)",682,,,,
FULL NAME,BORN,DIED,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK CAPTAINCY,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,
James Hunter,"Thursday, 6 March 1879 in Hawera, New Zealand","Friday, 14 December 1962 in Wanganui","1.68m, 73kg",Second five-eighth,Wanganui Collegiate,Hawera,Taranaki,"Saturday, 1 July 1905v Auckland at Aucklandaged 26 years, 117 days","Saturday, 18 November 1905v Scotland at Edinburghaged 26 years, 257 days","Saturday, 25 July 1908v British & Irish Lions at Aucklandaged 29 years, 141 days",11 11,25 25,36 36,Jersey Number 12 : 11,8 as Captain,"15pts (5t, 0c, 0p, 0dg, 0m)","129pts (43t, 0c, 0p, 0dg, 0m)","144pts (48t, 0c, 0p, 0dg, 0m)",118,,,
FULL NAME,BORN,AGE,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,
Ian Archibald Hurst,"Monday, 27 August 1951 in Oamaru, New Zealand",67,"1.80m, 86kg",Second five-eighth and centre three-quarter,Waitaki Boys' High,Lincoln University (College),Canterbury,"Saturday, 21 October 1972v New York Metropolitan at New Yorkaged 21 years, 55 days","Saturday, 20 January 1973v Ireland at Dublinaged 21 years, 146 days","Saturday, 1 June 1974v Australia at Brisbaneaged 22 years, 278 days",5 5,27 (1 as a substitute) 27,32 (1 as a substitute) 32,Jersey Number 12 : 4 Jersey Number 13 : 1,"8pts (2t, 0c, 0p, 0dg, 0m)","40pts (10t, 0c, 0p, 0dg, 0m)","48pts (12t, 0c, 0p, 0dg, 0m)",717,,,,
FULL NAME,BORN,AGE,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,
Namulauulu Alama Ieremia,"Tuesday, 27 October 1970 in Motootua, Samoa",48,"1.86m, 100kg",Second five-eighth and centre three-quarter,Samoa College (Apia),Western Suburbs,Wellington,"Saturday, 9 July 1994v South Africa at Dunedinaged 23 years, 255 days","Saturday, 9 July 1994v South Africa at Dunedinaged 23 years, 255 days","Saturday, 19 August 2000v South Africa at Johannesburgaged 29 years, 297 days",30 (4 as a substitute) 30,10 10,40 (4 as a substitute) 40,Jersey Number 12 : 15 Jersey Number 13 : 11 Jersey Number 21 : 4,"25pts (5t, 0c, 0p, 0dg, 0m)","20pts (4t, 0c, 0p, 0dg, 0m)","45pts (9t, 0c, 0p, 0dg, 0m)",942,,,,
FULL NAME,BORN,DIED,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,
Karl Donald Ifwersen,"Friday, 6 January 1893 in Auckland, New Zealand","Friday, 19 May 1967 in Auckland","1.78m, 76kg",Second five-eighth,Auckland Grammar,Grammar,Auckland,"Saturday, 17 September 1921v South Africa at Wellingtonaged 28 years, 254 days","Saturday, 17 September 1921v South Africa at Wellingtonaged 28 years, 254 days","Saturday, 17 September 1921v South Africa at Wellingtonaged 28 years, 254 days",1 1,0 0,1 1,Jersey Number 12 : 1,0pts,0pts,0pts,249,,,,
FULL NAME,BORN,AGE,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,NICKNAME,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,
Craig Ross Innes,"Wednesday, 10 September 1969 in New Plymouth, New Zealand",49,"1.81m, 82kg",Centre three-quarter and wing three-quarter,Sacred Heart College,Ponsonby,Auckland,Postie,"Saturday, 14 October 1989v Cardiff at Cardiffaged 20 years, 34 days","Saturday, 4 November 1989v Wales at Cardiffaged 20 years, 55 days","Wednesday, 30 October 1991v Scotland at Cardiffaged 22 years, 50 days",17 17,13 (2 as a substitute) 13,30 (2 as a substitute) 30,Jersey Number 13 : 15 Jersey Number 14 : 2,"24pts (6t, 0c, 0p, 0dg, 0m)","36pts (9t, 0c, 0p, 0dg, 0m)","60pts (15t, 0c, 0p, 0dg, 0m)",901,,,
FULL NAME,BORN,DIED,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,
Gordon Donald Innes,"Thursday, 8 September 1910 in Dunedin, New Zealand","Friday, 6 November 1992 in Christchurch","1.78m, 82kg",Second five-eighth,Christchurch Boys' High,Sydenham,Canterbury,"Wednesday, 15 June 1932v Wellington at Wellingtonaged 21 years, 281 days","Saturday, 16 July 1932v Australia at Brisbaneaged 21 years, 312 days","Saturday, 16 July 1932v Australia at Brisbaneaged 21 years, 312 days",1 1,6 6,7 7,Jersey Number 12 : 1,0pts,"6pts (2t, 0c, 0p, 0dg, 0m)","6pts (2t, 0c, 0p, 0dg, 0m)",392,,,,
FULL NAME,BORN,AGE,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,SUPER RUGBY TEAM,ALL BLACK DEBUT,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,,,
Akira Latrell Ioane,"Friday, 16 June 1995",23,"1.94m, 113kg",Loose Forwad,Auckland Grammar,Ponsonby,Auckland,Blues,"Tuesday, 14 November 2017v France XV at Lyonaged 22 years, 151 days",0 0,1 (1 as a substitute) 1,1 (1 as a substitute) 1,,0pts,0pts,1166,,,,,,
FULL NAME,BORN,AGE,PHYSICAL,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,SUPER RUGBY TEAM,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,
Rieko Edward Ioane,"Tuesday, 18 March 1997 in Auckland, New Zealand",21,"1.89m, 102kg",Wing,Auckland Grammar,Ponsonby,Auckland,Blues,"Saturday, 12 November 2016v Italy at Romeaged 19 years, 239 days","Saturday, 12 November 2016v Italy at Romeaged 19 years, 239 days","Saturday, 24 November 2018v Italy at Romeaged 21 years, 251 days",24 (3 as a substitute) 24,0 0,24 (3 as a substitute) 24,Jersey Number 11 : 21 Jersey Number 23 : 3,"110pts (22t, 0c, 0p, 0dg, 0m)",0pts,"110pts (22t, 0c, 0p, 0dg, 0m)",1156,,,
FULL NAME,BORN,DIED,POSITION,LAST SCHOOL,RUGBY CLUB(First made All Blacks from),PROVINCE,ALL BLACK DEBUT,INTERNATIONAL DEBUT,LAST TEST,ALL BLACK TESTS,ALL BLACK GAMES,TOTAL ALL BLACK MATCHES,STARTING POSITIONS,ALL BLACK TEST POINTS,ALL BLACK GAME POINTS,TOTAL ALL BLACK POINTS,ALL BLACK NUMBER,,,,,
Ian Bruce Irvine,"Wednesday, 6 March 1929 in Carterton, New Zealand","Tuesday, 5 November 2013 in Whangarei",Hooker,Whangarei Boys' High,Whangarei HSOB,Northland,"Saturday, 6 September 1952v Australia at Christchurchaged 23 years, 184 days","Saturday, 6 September 1952v Australia at Christchurchaged 23 years, 184 days","Saturday, 6 September 1952v Australia at Christchurchaged 23 years, 184 days",1 1,0 0,1 1,Jersey Number 2 : 1,0pts,0pts,0pts,541,,,,,
